text,Kommentar,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
Darüberhinaus enthielt das verwendete Fleisch ungenießbare Anteile.,,"Fleisch, foodq, neg, ungenießbare",,,,,,,,,,,,,,,
"Die Lage des Lokals am LOC ist perfekt, die Keller-Räumlichkeiten sind gemütlich - da kommen die Kunden sowieso, da braucht man sich wohl keine Mühe zu geben.",,"Lage des Lokals, loca, pos, perfekt","Keller-Räumlichkeiten, amb, pos, gemütlich",,,,,,,,,,,,,,
Wir hatten ein Azubi als Kellnerin und sie war sehr freundlich und hat uns nach Wünschen gefragt.,,"Azubi, serv, pos, freundlich",,,,,,,,,,,,,,,
Service ist zuvorkommend und schnell - wobei wir nicht zur Rush Hour hier waren.,,"Service, serv, pos, zuvorkommend","Service, serv, pos, schnell",,,,,,,,,,,,,,
Auch die Scherben wurden nicht alle entfernt.,,"NULL, serv, neg,  Scherben wurden nicht alle entfernt",,,,,,,,,,,,,,,
"Dann, keine 10 Minuten später, bekam ich ein neues Steak, das auf den Punkt zubereitet war.",,"Steak, foodq, pos, auf den Punkt zubereitet",,,,,,,,,,,,,,,
"Eigentlich gibt es ja auch vernünftige Fertigprodukte, aber hier wird vermutlich nur die minderwertigste Qualität serviert.",,"NULL, foodq, neg, minderwertigste",,,,,,,,,,,,,,,
Man fühlt sich völlig abgezockt.,,"NULL, restaurantp, neg, abgezockt",,,,,,,,,,,,,,,
Wieder aufrappeln- lecker!,,"NULL, foodq, pos, lecker",,,,,,,,,,,,,,,
Damals fanden wir das Restaurant Weltklasse.,,"Restaurant, restaurantg, pos,Weltklasse",,,,,,,,,,,,,,,
Sehr nett vom ganzen Team empfangen .,,"Team, serv, pos, nett",,,,,,,,,,,,,,,
Wir werden nicht mehr hierher kommen.,,"NULL, restaurantg, neg, nicht mehr hierher kommen",,,,,,,,,,,,,,,
Sehr schönes Restaurant.,,"Restaurant, restaurantg, pos, schönes",,,,,,,,,,,,,,,
Der Service ist schnell und freundlich.,,"Service, serv, pos, schnell","Service, serv, pos, freundlich",,,,,,,,,,,,,,
Als Familie sollte man seeeehr viel Geld einplanen.,,"Geld, restaurantp, neg, viel Geld einplanen",,,,,,,,,,,,,,,
"Leider war das Personal völlig überfordert, denn wir mußten fast 25 Minuten warten, bis jemand eine Bestellung aufnehmen konnte.",,"Personal, serv, neg, überfordert","Personal, serv, neg, 25 Minuten warten",,,,,,,,,,,,,,
Unmögliches Raumklima innerhalb.,,"Raumklima, amb, neg, Unmögliches",,,,,,,,,,,,,,,
"Sehr gute Scampi, aber eben nur die.",,"Scampi, foodq, pos, gute ",,,,,,,,,,,,,,,
"Es war viel zu laut, wie im Club.",,"NULL, amb, neg, laut",,,,,,,,,,,,,,,
Wir mussten mehrmals einen Bestellversuch starten bis jemand für uns zuständig war.,,"NULL, serv, neg, mussten mehrmals einen Bestellversuch starten",,,,,,,,,,,,,,,
"Individuelle Gerichte, liebevoll zubereitet.",,"Gerichte, foods, pos, Individuelle","Gerichte, foodq, pos, liebevoll",,,,,,,,,,,,,,
Allerdings waren die Bedienungen sehr aufmerksam.,,"Bedienungen, serv, pos, aufmerksam",,,,,,,,,,,,,,,
Service war freundlich und zügig.,,"Service, serv, pos, freundlich","Service, serv, pos, zügig",,,,,,,,,,,,,,
"Die Hummer Suppe ein Gaumenschmaus, gefolgt vom Heilbutt, so lecker und dann das weiße Schoko Mousse- yummy 😋.",,"Hummer Suppe, foodq, pos, Gaumenschmaus","Heilbutt, foodq, pos, lecker","Schoko Mousse, foodq, pos, yummy",,,,,,,,,,,,,
"Der Brunch ist sehr empfehlenswert, sehr gutes Essen in angenehmer Atmosphäre bei sehr gutem Service.","""gutes"" Essen, nicht ""gutem""","Brunch, foodq, pos, empfehlenswert","Essen, foodq, pos, gutes","Atmosphäre, amb, pos, angenehmer","Service, serv, pos, gutem",,,,,,,,,,,,
"Von dünn und knusprig, goldbraun gebraten keine Spur.",,"NULL, foodq, neg, Von dünn und knusprig, goldbraun gebraten keine Spur",,,,,,,,,,,,,,,
Lecker soweit.,,"NULL, foodq, pos, Lecker",,,,,,,,,,,,,,,
Super freundliches Personal !,,"Personal, serv, pos, freundliches",,,,,,,,,,,,,,,
"Trotzdem sehr empfehlenswert, wir kommen gerne wieder.",,"NULL, restaurantg, pos, empfehlenswert","NULL, restaurantg, pos, gerne wieder",,,,,,,,,,,,,,
"Die Brez‘n Suppe ist der Hammer, das Gröstl eine Riesenportion Geschmack.",,"Brez‘n Suppe, foodq, pos, Hammer","Gröstl, foodq, pos, Riesenportion Geschmack",,,,,,,,,,,,,,
Fleisch war keine Qualität auf jeden nicht nochmal,,"Fleisch, foodq, neg, keine Qualität","NULL, restaurantg, neg, nicht nochmal",,,,,,,,,,,,,,
Ohne Reservierung einen guten Tisch bekommen.,,"Tisch, amb, pos, guten",,,,,,,,,,,,,,,
"Der Service, vor allem von ""LOC"" war sehr freundlich und erstklassig.",,"Service, serv, pos, freundlich","Service, serv, pos, erstklassig",,,,,,,,,,,,,,
Der Service ist allerdings freundlich und schnell.,,"Service, serv, pos, freundlich","Service, serv, pos, schnell",,,,,,,,,,,,,,
"Aber Pommes gibts es wesentlich leckere (die ""Schalenreste"" an den Pommes vermitteln vll.",,"Pommes, foodq, neg, gibts es wesentlich leckere",,,,,,,,,,,,,,,
Besonders das Lachsfilet war sehr lecker.,,"Lachsfilet, foodq, pos, lecker",,,,,,,,,,,,,,,
Wir freuen uns schon auf das nächste Mal.,,"NULL, restaurantg, pos, freuen uns schon auf das nächste Mal",,,,,,,,,,,,,,,
Die gegrillten Bratwürste waren in gewohnter Qualität mit feinem Holzaroma gegrillt.,,"Holzaroma, foodq, pos, feinem","Bratwürste, foodq, pos, gewohnter Qualität ",,,,,,,,,,,,,,
Kapp 60€ waren für das Angebotene eine Frechheit.,,"NULL, restaurantp, neg, 60€",,,,,,,,,,,,,,,
"Eine junge Dame mit Handy lief zwar um die Tische, doch winkende Gäste, die etwas bestellen wollten, wurden geflissentlich übersehen.",,"Dame, serv, neg, geflissentlich übersehen",,,,,,,,,,,,,,,
Beim vorletzten Mal hatten wir das gleiche Erlebnis mit den extrem langen Wartezeiten.,,"Wartezeiten, serv, neg, langen",,,,,,,,,,,,,,,
Das Restaurant im Keller war toll und gut besucht.,,"Restaurant im Keller, restaurantg, pos, toll",,,,,,,,,,,,,,,
Schade.,,"NULL, restaurantg, neg, Schade",,,,,,,,,,,,,,,
"Vorab: solide ist das schon, was man hier kriegt.",,"NULL, restaurantg, pos, solide",,,,,,,,,,,,,,,
"Dass mir zuerst eine englische Karte präsentiert wird, lasse ich der freundlichen Kellnerin gerne durchgehen.",,"Kellnerin, serv, pos, freundlichen",,,,,,,,,,,,,,,
Dieser sollte mal an einer Schulung teilnehmen in der Ihm der korrekte Umgang mit Gästen und Kollegen näher gebracht wird.,,"NULL, serv, neg, sollte mal an einer Schulung teilnehmen",,,,,,,,,,,,,,,
Umso größer dann die Enttäuschung !,,"NULL, restaurantg, neg, Enttäuschung ",,,,,,,,,,,,,,,
"Kein einziges Mal wurde gefragt, ob wir noch was trinken möchten oder andere Wünsche haben.",,"NULL, serv, neg, Kein einziges Mal wurde gefragt",,,,,,,,,,,,,,,
"Auf jeden Fall ein Besuch wert, bei den Speisen ist für jeden der Tapasliebhaber etwas dabei!","""Besuch wert"" reicht","Speisen, foods, pos, für jeden der Tapasliebhaber etwas dabei","NULL, restaurantg, pos, Besuch wert",,,,,,,,,,,,,,
"""Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben.",,,,,,,,,,,,,,,,,
"LOC, tolles Essen, und nette Bedienung.",,"Essen, foodq, pos, tolles","Bedienung, serv, pos, nette",,,,,,,,,,,,,,
"Das Steak war hervorragend, Kartoffelstampf und Pommes normal, gut.",,"Steak, foodq, pos, hervorragend","Kartoffelstampf, foodq, pos, gut","Pommes, foodq, pos, gut",,,,,,,,,,,,,
"Leider hat die Qualität massiv nachgelassen und der Preis 7,10€ hat sich fast verdoppelt, die haben wohl den Knall nicht gehört und denn rennen einen die Ratten am Stand fast über die Füße ,das geht gar nicht.",,"NULL, foodq, neg, 7,10€","NULL, restaurantg, neg, Qualität massiv nachgelassen",,,,,,,,,,,,,,
Wir konnten uns von der vorzüglichen Qualität der regionalen und selbst gemachten Produkte überzeugen.,,"Produkte, foodq, pos, vorzüglichen Qualität",,,,,,,,,,,,,,,
Um 21:30 wird man unfreundlich abgewiesen.,,"NULL, serv, neg, unfreundlich",,,,,,,,,,,,,,,
"Das Restaurant ist sehr zentral gelegen, gerade beim LOC.","würde hier nichts annotieren, zentral ist glaube ich kein sentiment",,,,,,,,,,,,,,,,
"Wenn man das alles berücksichtigt, konnte ich mit meinem Teller sehr zufrieden sein.",,"Teller, foodq, pos, zufrieden",,,,,,,,,,,,,,,
Nicht überfüllt mittags.,,"NULL, amb, pos, Nicht überfüllt",,,,,,,,,,,,,,,
"Essen konnte erst nach 1,5 Stunden bestellt werden!",,"NULL, serv, neg, erst nach 1,5 Stunden",,,,,,,,,,,,,,,
Sehr freundlicher Service und das Essen war qualitativ und geschmacklich sehr gut.,,"Service, serv, pos, freundlicher","Essen, foodq, pos, gut",,,,,,,,,,,,,,
"Positiv zu vermerken ist die einzigartige Lage, das traditionelle Ambiente und der freundliche Service.",,"Lage, loca, pos, einzigartige","Ambiente, amb, pos, traditionelle","Service, serv, pos, freundliche",,,,,,,,,,,,,
So kann das mit ner Garstufe nicht klappen.,,"Garstufe, foodq, neg, nicht klappen",,,,,,,,,,,,,,,
Ein toller Abend mit fantastischem Essen von großartiger Qualität -die Seezunge war ein Traum- und einem super Service!,,"Essen, foodq, pos, fantastischem","Seezunge, foodq, pos, Traum","Service, serv, pos, super","NULL, restaurantg, pos, toller Abend",,,,,,,,,,,,
"Wir waren geschäftlich in der RESTAURANT_NAME, und schon am Eingang haben wir das tolle Ambiente gesehen.",,"Ambiente, amb, pos, tolle",,,,,,,,,,,,,,,
"Super leckeres Essen, schönes Ambiente in zentraler Lage, tolle getöpferte Kerzenständer und ein sehr freundlicher Service.",,"Essen, foodq, pos, leckeres","Ambiente, amb, pos, schönes","Kerzenständer, amb, pos, tolle","Service, serv, pos, freundlicher","Lage, loca, pos, zentraler",,,,,,,,,,,
Der Cappuccino leider wässrig und kaum Milchschaum.,,"Cappuccino, drinkq, neg, wässrig","Cappuccino, drinkq, neg, kaum Milchschaum",,,,,,,,,,,,,,
Immer wieder gerne wenn wir in LOC sind.,,"NULL, restaurantg, pos, Immer wieder gerne",,,,,,,,,,,,,,,
Als wir langsam genervt das x-te mal nach gefragt haben wo die Gläser sind kam Der Chef und meinte wir sollen das Personal nicht so stressen…🤯 what??,,"Chef, serv, neg,  meinte wir sollen das Personal nicht so stressen",,,,,,,,,,,,,,,
"Der laue Sommerabend unter den grossen Sonnensegeln war schoen, allerdings wirkt der Aussenbereich etwas sehr „selbstgemacht“, das kann sicher boch etwas schöner werden.",,"Sommerabend unter den grossen Sonnensegeln, amb, pos, schoen","Aussenbereich, amb, neg, selbstgemacht",,,,,,,,,,,,,,
Nicht zu empfehlen!,,"NULL, restaurantg, neg, Nicht zu empfehlen",,,,,,,,,,,,,,,
Bedienung sehr zuvorkommend,,"Bedienung, serv, pos, zuvorkommend",,,,,,,,,,,,,,,
Essen - wie immer - GRANDIOS!,,"Essen, foodq, pos, GRANDIOS",,,,,,,,,,,,,,,
Die Qualität des Essens fand ich aber sehr durchschnittlich.,,"Essens, foodq, neu, durchschnittlich",,,,,,,,,,,,,,,
Sehr nette und zuvorkommende Bedienung.,,"Bedienung, serv, pos, nette","Bedienung, serv, pos, zuvorkommende",,,,,,,,,,,,,,
Insgesamt war es sehr laut in dem Lokal.,,"Lokal, amb, neg, laut",,,,,,,,,,,,,,,
DANKESCHÖN,,"NULL, restaurantg, pos, DANKESCHÖN",,,,,,,,,,,,,,,
Ich bin sehr enttäuscht und komme nicht wieder.,,"NULL, restaurantg, neg, enttäuscht","NULL, restaurantg, neg, komme nicht wieder",,,,,,,,,,,,,,
"Das allerbeste, obwohl wir recht kurzfristig reservierten und das Lokal ausgebucht war, fand der Wirt noch ein Plätzchen für uns.",,"Wirt, serv, pos, fand der Wirt noch ein Plätzchen",,,,,,,,,,,,,,,
Alles ging zugig und war lecker.,,"NULL, serv, pos, zugig","NULL, foodq, pos, lecker",,,,,,,,,,,,,,
100g auf einer durchweichten Scheibe Brot mit Ruccolasalat 14€.,,"Scheibe Brot mit Ruccolasalat, foodq, neg, durchweichten","Scheibe Brot mit Ruccolasalat, foodp, neg, 14€",,,,,,,,,,,,,,
Mit den LOC kann man Fenster einschmeißen - jeder Bahnhof serviert bessere…Einzig und alleine die Maß war lecker.,,"Maß, drinkq, pos, lecker","LOC, restaurantg, neg, Fenster einschmeißen",,,,,,,,,,,,,,
Endlich die Gläser erhalten… nun müssen WIR die Osteria Mitarbeitern bitten unsere Essensbestellung aufzunehmen.,,"Osteria Mitarbeitern, serv, neg, nun müssen WIR die Osteria Mitarbeitern bitten",,,,,,,,,,,,,,,
Dafür fehlte die Kräuterrahmsauce komplett und auch hier war von Abschmecken nichts zu bemerken.,,"NULL, foodq, neg, fehlte","NULL, foodq, neg, von Abschmecken nichts zu bemerken",,,,,,,,,,,,,,
Das Bier von Über Quell war auch sehr angenehm im Geschmak.,,"Bier von Über Quell, drinkq, pos, angenehm",,,,,,,,,,,,,,,
Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig.,weiteres Quadrupple mit stimmig gegenüber Ambiente,"Ambiente, amb, pos, super","Ambiente, amb, pos, stimmig",,,,,,,,,,,,,,
Schade.,,"NULL, restaurantg, neg, Schade",,,,,,,,,,,,,,,
Hatte ein sehniges Teil was nicht zu kauen war die anderen Gerichte waren akzeptabel aber nichts besonderes,,"Gerichte, foodq, neu, akzeptabel","sehniges Teil, foodq, neg,  nicht zu kauen war",,,,,,,,,,,,,,
"ertrank in einer Brühe, die Hackfleischbällchen (9,80) wurden schnell aufgewärmt, die Champions (8,90) waren vor sehr langer Zeit vielleicht mal frisch.",,"Hackfleischbällchen, foodp, neg, 9,80","Champions, foodq, neg, vor sehr langer Zeit vielleicht mal frisch",,,,,,,,,,,,,,
"2 Etagen und jeder Stuhl belegt, was die Atmosphäre leider sehr laut und unruhig machte.",,"Atmosphäre, amb, neg, laut","Atmosphäre, amb, neg, unruhig",,,,,,,,,,,,,,
"Das Essen war in Ordnung, die Portionen groß und der Service nett.",,"Essen, foodq, neu, in Ordnung","Service, serv, pos, nett","Portionen, foods, pos, groß",,,,,,,,,,,,,
Haben uns beschwert - hat aber nicht viel genützt...wsl weil ja trotzdem jeder da rein will und auch reingeht... wir sicher nie wieder!,,"NULL, restaurantg, neg,nie wieder",,,,,,,,,,,,,,,
Mir aber zu fettig und zuviel Speck.,,"Speck, foodq, neg, zuviel","NULL, foodq, neg, fettig",,,,,,,,,,,,,,
"Nicht kulant, knauserig, überheblich.",,"NULL, serv, neg, Nicht kulant","NULL, serv, neg, knauserig","NULL, serv, neg, überheblich",,,,,,,,,,,,,
"Essen topp und Service auch, nur einen unmöglichen Kellner dabei, der mit den Tunneln im Ohr, der seine Kollegin ständig laut anpöbelt vor den Gäste, dass sie zu langsam sind und dich bewegen sollen usw.",,"Essen, foodq, pos, topp","Service, serv, pos, topp","Kellner, serv, neg, anpöbelt",,,,,,,,,,,,,
"Früher hat man das antiquierte Ambiente nicht beachtet, weil die Steaks sehr gut waren.",,"Steaks, foodq, pos, gut","Ambiente, amb, neg, antiquierte ",,,,,,,,,,,,,,
"Ambiente toll , Essen überpreist und das man der Stiefmutter gratuliert ohne was zu hinterfragen ist schon sehr schmerzhaft .. brauch ich nicht nochmal .","überpreist ist food price, weiteres quadruple zu restaurant general mit ""brauch ich nicht nochmal""","Ambiente, amb, pos, toll","Essen, foodp, neg, überpreist","NULL, restaurantg, neg, brauch ich nicht nochmal",,,,,,,,,,,,,
Definitiv überteuert und in dem Rahmen kein Besuch wert.,kein Besuch wert wäre OT für restaurant general,"NULL, restaurantp, neg, überteuert","NULL, restaurantg, neg, kein Besuch wer",,,,,,,,,,,,,,
"Gutes Essen, freundliche Bedienung, allerdings wurde wieder bei der Abrechnung geschummelt.",,"Essen, foodq, pos, Gutes","Bedienung, serv, pos, freundliche","Abrechnung, serv, neg, geschummelt",,,,,,,,,,,,,
"Aber: bleibt weg von den Bratkartoffeln, die sind wabbelig und fad, null Kartoffelgeschmack, und trotz Versicherung der sehr netten und bemühten Bedienung sind wir sicher, daß es LOC ist.","weiteres quadruple zu den Bratkartoffeln mit OT ""bleibt weg""","Bratkartoffeln, foodq, neg, wabbelig","Bedienung, serv, pos, netten","Bratkartoffeln, foodq, neg, fad","Bratkartoffeln, foodq, neg, null Kartoffelgeschmack","Bedienung, serv, pos, bemühten","Bratkartoffeln, foodq, neg, bleibt weg",,,,,,,,,,
Wir haben uns hier sehr wohlgefuehlt und kommen auch bestimmt nochmal wieder.,,"NULL, amb, pos, wohlgefuehlt","NULL, restaurantg, pos, kommen auch bestimmt nochmal wieder",,,,,,,,,,,,,,
Ein sehr enttäuschender Abend.,,"NULL, restaurantg, neg, enttäuschender",,,,,,,,,,,,,,,
Das ist nicht ok.,,"NULL, restaurantg, neg, nicht ok",,,,,,,,,,,,,,,
"Wahrscheinlich hat die Bedienung die Bestellung nicht verstanden, weil die Musik am Sonntag Mittag so laut war, dass man sich eigentlich auf der Terrasse nicht unterhalten konnte.",,"Bedienung, serv, neg, Bestellung nicht verstanden","Musik, amb, neg, laut",,,,,,,,,,,,,,
"Das Essen ist mittelmäßig, geschmacklich kein Highlight, kein Unterschied zu einem normalen Asia Imbiss.",,"Essen, foodq, neu, mittelmäßig","Essen, foodq, neu, kein Highlight","Essen, foodq, neu, kein Unterschied zu einem normalen Asia Imbiss",,,,,,,,,,,,,
Wir werden dort nicht mehr aufkreuzen.,,"NULL, restaurantg, neg, nicht mehr aufkreuzen",,,,,,,,,,,,,,,
"Jeder Restauranttester schlägt wahrscheinlich die Hände über dem Kopf zusammen, sollte er jemals so ein Essen serviert bekomnen",,"Essen, foodq, neg, schlägt wahrscheinlich die Hände über dem Kopf zusammen",,,,,,,,,,,,,,,
"Wir, meine Frau, meine Familie, gehen immer wieder sehr gerne in die RESTAURANT_NAME zum Essen.",,"RESTAURANT_NAME, restaurantg, pos, immer wieder sehr gerne",,,,,,,,,,,,,,,
Ich kann es nur empfehlen.,,"NULL, restaurantg, pos, kann es nur empfehlen",,,,,,,,,,,,,,,
Wir hatten das Pech das gerade viele Ami‘s in LOC bzw. im Lokal waren (NFL-Spiele) … es war extrem laut und damit ungemütlich.,,"NULL, amb, neg, laut","NULL, amb, neg, ungemütlich",,,,,,,,,,,,,,
"Das Lokal war meiner Meinung nach völlig überfüllt, extrem laut, keine Unterhaltung mehr möglich.",,"Lokal, amb, neg, überfüllt","Lokal, amb, neg, laut","Lokal, amb, neg, keine Unterhaltung mehr möglich","Lokal, amb, neg, überfüllt",,,,,,,,,,,,
"Das war ein Volltreffer, ich kann mich nicht daran erinnern jemals so eine gute Pasta gegessen zu haben.",,"Pasta, foodq, pos, gute","NULL, restaurantg, pos, Volltreffer",,,,,,,,,,,,,,
"Die sehr große Lokation ist gut für Gruppen geeignet, so dass wir im hinteren Bereich einen ruhigeren Platz fanden.",,"Lokation, amb, pos, große","Platz, amb, pos, ruhigeren",,,,,,,,,,,,,,
Es war ganz lecker aber nichts besonderes.,,"NULL, foodq, neu, ganz lecker","NULL, foodq, neu, nichts besonderes",,,,,,,,,,,,,,
Location macht einen etwas angetaubten und unaufgeräumten und dennoch recht authentischen Eindruck.,,"Location, amb, pos, angetaubten","Location, amb, pos, unaufgeräumten","Location, amb, pos, authentischen",,,,,,,,,,,,,
Schöner Außenbereich,,"Außenbereich, amb, pos, Schöner",,,,,,,,,,,,,,,
"Anfang Dezember, trotz Weihnachtsmarkt noch spontan einen Platz für zwei bekommen, nach sehr kurzer Wartezeit.",,"Wartezeit, serv, pos, kurzer",,,,,,,,,,,,,,,
Service war bei der Auswahl eines Schnapses auch sehr beratend unterwegs.,,"Service, serv, pos, beratend",,,,,,,,,,,,,,,
Auch die Weinkarte ist sehr zu empfehlen sowie eine hervorragende Auswahl an Grappa Spezialitäten!,"empfehlen reicht,  Außerdem: ""Auswahl an Grappa Spezialitäten"" als AT, ""hervorragende"" als OT","Weinkarte, drinkq, pos, empfehlen","Auswahl an Grappa Spezialitäten, foods, pos, hervorragende",,,,,,,,,,,,,,
"Auf meine Reklamation hin wurde gesagt, dass der Kartoffelsalat in Ordnung sei.",,"Kartoffelsalat, foodq, neu, in Ordnung",,,,,,,,,,,,,,,
"Das Essen hat uns auch nicht überzeugt, da es etwas lieblos zubereitet daherkam.",,"Essen, foodq, neg, nicht überzeugt","Essen, foodq, neg, lieblos",,,,,,,,,,,,,,
!Natürlich das Bier topp und auch der Kellner topp und freundlich!!,,"Bier, drinkq, pos, topp","Kellner, serv, pos, topp","Kellner, serv, pos, freundlich",,,,,,,,,,,,,
Insgesamt reichten die drei Gänge nicht zum satt werden.,,"NULL, foods, neg, reichten die drei Gänge nicht zum satt werden",,,,,,,,,,,,,,,
"Einen Punkt Abzug gibt es für mich (wobei das Restaurant nicht wirklich was dafür kann), weil darin sehr sehr laut ist und man seinen Gegenüber schon fast anschreien muss.",,"NULL, amb, neg, laut",,,,,,,,,,,,,,,
"Kein Danke, kein Auf Wiedersehen .",,"NULL, serv, neg, Kein Danke","NULL, serv, neg, kein Auf Wiedersehen",,,,,,,,,,,,,,
"Authentisch, so wie ich es mag.. hatte klassisch ein schnitzel mit jägersauce… must try.",,"schnitzel mit jägersauce, foodq, pos, must try","NULL, restaurantg, pos, Authentisch",,,,,,,,,,,,,,
Preis-Leistungs Verhältnis katastrophal!!,,"NULL, restaurantp, neg, katastrophal",,,,,,,,,,,,,,,
"Kurze Zeit später folgt die Hauptspeise, wieder gut gefüllter Teller, gegrillter Fisch und Gemüse, gedünstete Meeresfrüchte in LOC.",,"Teller, foods, pos, gut gefüllter",,,,,,,,,,,,,,,
Danke für die tolle Zeit bei Euch!,,"NULL, restaurantg, pos, tolle Zeit",,,,,,,,,,,,,,,
Ein rundum leckerer Abend.,,"NULL, foodq, pos, leckerer",,,,,,,,,,,,,,,
Diese angeblich bayerische Brauerei ist ein No-Go.,,"Brauerei, restaurantg, neg, No-Go",,,,,,,,,,,,,,,
"befriedigendes Ausflugslokal, leider sehr dreckige Tische, Platzangebot direkt vor LOC obwohl LOC nur zu ca.",,"Ausflugslokal, restaurantg, neu, befriedigendes","Tische, amb, neg, dreckige",,,,,,,,,,,,,,
Fazit: Geht gar nicht !,,"NULL, restaurantg, neg, Geht gar nicht",,,,,,,,,,,,,,,
"Leider sind die Toiletten sehr unsauber, nicht gepflegt mit starker Geruchsbildung der einem auf dem Weg dorthin schon entgegen schlägt.",,"Toiletten, amb, neg, unsauber","Toiletten, amb, neg, nicht gepflegt","Toiletten, amb, neg, starker Geruchsbildung",,,,,,,,,,,,,
Bier schmeckt super.,,"Bier, drinkq, pos, super",,,,,,,,,,,,,,,
"Das vom Kindergesicht ebenfalls, wurde aber nachträglich in Soße ertränkt, was der Panade nicht gut tat.",,"Panade, foodq, neg, in Soße ertränkt",,,,,,,,,,,,,,,
"Es war so laut, dass man sein eigenes Wort nicht verstand.",,"NULL, amb, neg, laut",,,,,,,,,,,,,,,
"Nachdem das Nudelgericht meiner Frau kalt war, und wir dieses zurückgehen ließen, wollte ich nicht auch noch meinen Surf und Turf-Burger reklamieren.",,"Nudelgericht, foodq, neg, kalt",,,,,,,,,,,,,,,
"Um uns zu unterhalten, mussten wir uns fast schon anschreien.",,"NULL, amb, neg, Um uns zu unterhalten, mussten wir uns fast schon anschreien",,,,,,,,,,,,,,,
Das Steak im Hauptgang war bei beiden sehr gut.,,"Steak im Hauptgang, foodq, pos, gut",,,,,,,,,,,,,,,
"Die Fläche mit den Tischen dreht sich in angenehmer Geschwindigkeit im Uhrzeigersinn, so dass man einen tollen Panoramaausblick hat.",,"Fläche mit den Tischen, amb, pos, angenehmer","Panoramaausblick, amb, pos, tollen",,,,,,,,,,,,,,
Sehr schade.,,"NULL, restaurantg, neg, schade",,,,,,,,,,,,,,,
Kommen immer gerne wieder nur zu empfehlen:),"weiteres quadruple mit ""empfehlen""","NULL, restaurantg, pos, gerne wieder","NULL, restaurantg, pos, empfehlen ",,,,,,,,,,,,,,
Die positiven Bewertungen können wir nur bestätigen.,,"NULL, restaurantg, pos, positiven Bewertungen können wir nur bestätigen",,,,,,,,,,,,,,,
Geschmacklich war es leider auch absolut traurig.,,"NULL, foodq, neg, traurig",,,,,,,,,,,,,,,
"Die Bedienung war freundlich, flott und gut gelaunt.",,"Bedienung, serv, pos, freundlich","Bedienung, serv, pos, flott","Bedienung, serv, pos, gut gelaunt",,,,,,,,,,,,,
Aufgrund des LOC war leider das Essen auch nur mittelmäßig.,,"Essen, foodq, neu, mittelmäßig",,,,,,,,,,,,,,,
Das HRC in LOC zählt leider zu den schlechtesten Cafés die wir je erlebt haben.,,"HRC, restaurantg, neg, zählt leider zu den schlechtesten Cafés",,,,,,,,,,,,,,,
Der Service ist sehr zuvorkommend und überaus freundlich.,,"Service, serv, pos, zuvorkommend","Service, serv, pos, freundlich",,,,,,,,,,,,,,
Leckere Suppen und Fischgerichte wie Dorade.,,"Suppen, foodq, pos, Leckere","Fischgerichte, foodq, pos, Leckere","Dorade, foodq, pos, Leckere",,,,,,,,,,,,,
"Das Fleisch war trocken, weil es fast durchgebraten war.","zusätzliches quadruple: ""fast durchgebraten"" als OT","Fleisch, foodq, neg, trocken"," Fleisch, foodq, neg, fast durchgebraten",,,,,,,,,,,,,,
"Dank an Susane, die uns sehr charmant durch den Abend begleitete.",,"Susane, serv, pos, charmant",,,,,,,,,,,,,,,
Fast alles in Ordnung.,,"NULL, restaurantg, neu, in Ordnung",,,,,,,,,,,,,,,
Das Essen war sehr gut und die Herrencreme ein Gedicht.,"""Gedicht"" reicht als OT","Essen, foodq, pos, gut","Herrencreme, foodq, pos, Gedicht",,,,,,,,,,,,,,
"Hier gab es bayrische Küche, sehr schön und wohl schmeckend auf dem Teller , z.Bs.",,"NULL, foodq, pos, schmeckend","NULL, foods, pos, schön",,,,,,,,,,,,,,
"Es ist sehr schade, dass die Gäste in diesem Restaurant so behandelt werden.",,"NULL, serv, neg,  schade, dass die Gäste in diesem Restaurant so behandelt werden",,,,,,,,,,,,,,,
"Allerdings haben wir 1,5 Stunden auf unser Essen gewartet.",,"NULL, serv, neg, 1,5 Stunden auf unser Essen gewartet",,,,,,,,,,,,,,,
Hervorragender Service und Fleisch von Spitzenqualität.,,"Service, serv, pos, Hervorragender","Fleisch, foodq, pos, Spitzenqualität",,,,,,,,,,,,,,
Service war freundlich und schnell.,,"Service, serv, pos, freundlich","Service, serv, pos, schnell",,,,,,,,,,,,,,
"Muss nicht sein, kann aber.",,"NULL, restaurantg, neu, Muss nicht sein, kann aber",,,,,,,,,,,,,,,
"Dafür ohne Reservierung im überfüllten RESTAURANT_NAME trotzdem eine angenehme Platz-Zuweisung vor Ort,naja,bei DEN Preisen…",,"NULL, restaurantp, neg, bei DEN","Platz-Zuweisung, serv, pos, angenehme",,,,,,,,,,,,,,
Auch das Ambiente ist schön (alte Kupferkessel) und vor allem hat die sehr freundliche Bedienung (Magdalena) zu einem gelungenem Abend beigetragen.,,"Ambiente, amb, pos, schön","Magdalena, serv, pos, freundliche",,,,,,,,,,,,,,
